text,options,answer,difficulty,type
"Which planet is known as the 'Red Planet'?","Venus,Mars,Jupiter,Saturn",Mars,0.2,mcq
"What is the capital of Brazil?","Rio de Janeiro,São Paulo,Brasília,Salvador",Brasília,0.5,mcq
"What is the largest desert in the world?","Sahara Desert,Arabian Desert,Gobi Desert,Antarctic Polar Desert",Antarctic Polar Desert,0.9,mcq
"Who painted the Mona Lisa?","Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet",Leonardo da Vinci,0.7,mcq
"What is the chemical symbol for oxygen?","O,Ox,Oc,Og",O,0.1,mcq
"What is the highest mountain in the world?","Mount Everest,K2,Mount Kilimanjaro,Mount Fuji",Mount Everest,0.8,mcq
"What is the main ingredient in guacamole?","Tomato,Onion,Avocado,Lemon",Avocado,0.2,mcq
"What is the capital of Germany?","Berlin,Munich,Frankfurt,Hamburg",Berlin,0.3,mcq
"Who was the first President of the United States?","Thomas Jefferson,Abraham Lincoln,George Washington,John Adams",George Washington,0.5,mcq
"What is the chemical symbol for potassium?","K,P,Po,Pt",K,0.6,mcq
"What is the name of the largest mammal on Earth?","Elephant,Giraffe,Blue whale,Lion",Blue whale,0.7,mcq
"What is the capital of Argentina?","Santiago,Buenos Aires,Bogota,Lima","Buenos Aires",0.5,mcq
"What is the currency of China?","Yen,Won,Yuan,Rupee",Yuan,0.5,mcq
"What is the name of the famous ancient Greek philosopher who taught Plato?","Socrates,Aristotle,Plato,Pythagoras",Socrates,0.8,mcq
"What is the chemical symbol for tin?","Sn,Ti,Tn,Tm",Sn,0.7,mcq
"What is the capital of Canada?","Ottawa,Toronto,Vancouver,Montreal",Ottawa,0.4,mcq
"Which programming language is known for its use in machine learning?","Python,C++,JavaScript,Ruby",Python,0.6,mcq
"What is the boiling point of water in Celsius?","0,50,100,212",100,0.2,mcq
"What is the capital of Australia?","Sydney,Melbourne,Canberra,Perth",Canberra,0.5,mcq
"Which planet is closest to the sun?","Mars,Venus,Earth,Mercury",Mercury,0.3,mcq
"What is the name of the author of '1984'?","George Orwell,Aldous Huxley,H.G. Wells,J.R.R. Tolkien",George Orwell,0.7,mcq
"What is the chemical symbol for copper?","Co,Cr,Cu,Ca",Cu,0.4,mcq
"What is the capital of Italy?","Rome,Venice,Florence,Milan",Rome,0.3,mcq
"What is the name of the famous scientist who discovered gravity?","Albert Einstein,Isaac Newton,Stephen Hawking,Galileo Galilei",Isaac Newton,0.5,mcq
"What is the largest country in the world by area?","China,USA,Canada,Russia",Russia,0.7,mcq
"What is the chemical symbol for silver?","Si,Sr,Ag,Au",Ag,0.5,mcq
"Which gas do plants absorb from the atmosphere?","Oxygen,Nitrogen,Carbon Dioxide,Hydrogen",Carbon Dioxide,0.4,mcq
"What is the capital of Egypt?","Cairo,Alexandria,Giza,Luxor",Cairo,0.6,mcq
"What is the name of the famous artist who painted 'The Starry Night'?","Pablo Picasso,Vincent van Gogh,Leonardo da Vinci,Claude Monet",Vincent van Gogh,0.7,mcq
"What is the chemical symbol for carbon?","C,Ca,Co,Cr",C,0.1,mcq
"What is the currency of Japan?","Yen,Won,Yuan,Rupee",Yen,0.5,mcq
"What is the name of the famous Roman emperor who was assassinated in 44 BC?","Julius Caesar,Augustus,Nero,Caligula",Julius Caesar,0.8,mcq
"What is the chemical symbol for helium?","H,He,Ha,Hi",He,0.2,mcq
"What is the capital of Greece?","Athens,Thebes,Sparta,Corinth",Athens,0.4,mcq
"What is the name of the author of 'Harry Potter'?","J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,Roald Dahl",J.K. Rowling,0.3,mcq
"What is the smallest ocean in the world?","Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean",Arctic Ocean,0.8,mcq
"What is the capital of Mexico?","Mexico City,Cancun,Guadalajara,Tijuana",Mexico City,0.4,mcq
"What is the chemical symbol for lead?","Pb,Le,Ld,La",Pb,0.6,mcq
"What is the name of the author of 'The Lord of the Rings'?","J.K. Rowling,J.R.R. Tolkien,C.S. Lewis,George R.R. Martin",J.R.R. Tolkien,0.7,mcq
"What is the capital of South Korea?","Seoul,Busan,Incheon,Daegu",Seoul,0.5,mcq
"What is the chemical symbol for sulfur?","Su,Sf,S,Sr",S,0.3,mcq
"What is the name of the famous ancient Greek mathematician who developed the Pythagorean theorem?","Archimedes,Euclid,Pythagoras,Thales",Pythagoras,0.6,mcq
"What is the capital of China?","Shanghai,Beijing,Hong Kong,Guangzhou",Beijing,0.5,mcq
"What is the chemical symbol for nitrogen?","N,Ni,Na,No",N,0.1,mcq
"What is the name of the famous physicist who formulated the laws of motion?","Isaac Newton,Albert Einstein,Stephen Hawking,Galileo Galilei",Isaac Newton,0.5,mcq
"What is the capital of Russia?","Moscow,St. Petersburg,Kiev,Minsk",Moscow,0.4,mcq
"What is the chemical symbol for potassium?","P,Po,Pt,K",K,0.6,mcq
"What is the name of the largest mammal on Earth?","Elephant,Giraffe,Blue whale,Lion",Blue whale,0.7,mcq
"What is the capital of Argentina?","Santiago,Buenos Aires,Bogota,Lima","Buenos Aires",0.5,mcq
"What is the currency of China?","Yen,Won,Yuan,Rupee",Yuan,0.5,mcq
"What is the name of the famous ancient Greek philosopher who taught Plato?","Socrates,Aristotle,Plato,Pythagoras",Socrates,0.8,mcq
"What is the chemical symbol for tin?","Sn,Ti,Tn,Tm",Sn,0.7,mcq
"How would you handle a situation where a team member is not meeting deadlines, and it's affecting the entire project timeline?",,"I would communicate with the team member to understand the root cause of the delay, offer support and resources, and if the problem persists, I would escalate the issue to the project manager.",0.8,scenario
"Describe the steps you would take to debug a web application that is crashing every time a user tries to submit a form.",,"I would start by checking the browser's developer console for any error messages, then I would inspect the network tab to ensure the form data is being sent correctly. After that, I would review the server-side logs to find the specific error causing the crash.",0.9,scenario
"A client reports a critical bug in production. How do you prioritize and address this issue?",,"I would first assess the impact and urgency of the bug. If it's a major issue, I'd immediately inform my team and a project manager. Then, I'd reproduce the bug in a local or staging environment. Once I've found the root cause, I'd work on a fix, test it thoroughly, and deploy it as quickly as possible, ensuring minimal disruption to the user.",0.85,scenario
"You are a project manager and your team is behind schedule. How do you motivate them and get the project back on track?",,"I would hold a meeting with the team to discuss the situation openly. I'd listen to their concerns, re-evaluate the project timeline, and break down the remaining work into smaller, more manageable tasks. I'd also offer incentives or recognition for meeting milestones and work alongside them to tackle difficult tasks, showing my commitment to the project.",0.9,scenario
"Describe a time you had to learn a new technology or skill quickly. What was your process?",,"I had to learn a new framework for a project with a tight deadline. I started by completing a few online tutorials to understand the basics. Then, I read the official documentation to get a deeper understanding of the core concepts. Finally, I applied my knowledge by building a small, isolated feature to gain hands-on experience before integrating it into the main project. My process was to learn, read, and apply.",0.85,scenario
"A team member is struggling with a complex task. What steps would you take to help them without simply doing the work for them?",,"I would first schedule a one-on-one to discuss the issue. I'd ask open-ended questions to help them talk through their thought process and identify where they're stuck. I would also suggest resources like documentation, code examples, or a quick pairing session to work through a small part of the problem together. My goal would be to empower them to solve the problem independently while providing the necessary guidance.",0.9,scenario
"You have two critical bugs to fix with different deadlines. One has a short-term impact but a close deadline, and the other has a long-term impact but a more flexible deadline. How would you prioritize?",,"I would prioritize the short-term bug with the close deadline first, as it has an immediate and visible impact on the users. I would then work on a temporary workaround for the long-term bug if possible. After resolving the first bug, I would dedicate my time to a more robust solution for the second bug, ensuring it's addressed before it causes significant problems.",0.9,scenario
"Explain a difficult technical concept to a non-technical person.",,"I would start by finding an analogy that relates to their everyday life. For example, to explain how a database works, I might compare it to a physical filing cabinet. I'd then use simple, jargon-free language to describe the components and their functions, like how a folder is a table and a piece of paper is a record. I would encourage questions and use visual aids if possible.",0.85,scenario
"How do you ensure the quality of your code before pushing it to a shared repository?",,"I would start by thoroughly testing my code on my local machine to ensure it works as expected. Then, I'd run automated tests like unit and integration tests. I would also perform a self-review of my code to ensure it follows coding standards and best practices. Finally, I'd use a version control system like Git to create a pull request, where my team members can review my code before it's merged into the main branch.",0.9,scenario
"A new team member is joining. How would you help them get up to speed on the project?",,"I would create a comprehensive onboarding document that outlines the project's architecture, key technologies, and best practices. I'd also set up a meeting with them to walk them through the document and introduce them to the team. I would assign them a mentor and an easy task to get started, ensuring they feel comfortable asking questions and contributing early on.",0.8,scenario
"How do you handle a disagreement with a team member about a technical decision?",,"I would start by listening to their perspective and asking clarifying questions to understand their reasoning. I would then explain my point of view, focusing on the technical pros and cons of each approach rather than personal opinions. If we can't reach a consensus, I would suggest bringing in a third party, like a senior engineer or a tech lead, to provide a fresh perspective and help us make a data-driven decision.",0.85,scenario
"How would you handle a situation where a critical feature is due soon, but you've discovered a major roadblock you didn't foresee?",,"I would first assess the impact of the roadblock on the timeline and the project. I would then communicate the issue to my project manager and team members as soon as possible, providing a clear explanation of the problem, potential solutions, and a revised timeline. I would then focus on implementing the most viable solution, prioritizing a working solution over a perfect one.",0.9,scenario
"Explain the concept of an API to a friend who is not a programmer.",,"I would compare an API to a waiter in a restaurant. When you want to order food, you don't go to the kitchen yourself. Instead, you tell the waiter what you want from the menu. The waiter takes your order to the kitchen, and then brings the food back to you. The API is like the waiter: it takes your request, processes it on a server, and returns the information you asked for.",0.85,scenario
"Describe your process for writing a new feature from start to finish.",,"I would start by understanding the requirements and defining the scope of the feature. I'd then break the feature down into smaller tasks and create a plan. After that, I would write the code, ensuring it's well-structured and follows coding standards. I'd then write and run tests to ensure the feature works as expected. Finally, I'd submit a pull request for a code review and deploy the feature to a staging environment for testing.",0.85,scenario
"How would you approach a situation where you have conflicting feedback from different stakeholders?",,"I would first listen to all the feedback and try to understand the motivations behind each person's opinion. I would then schedule a meeting with the stakeholders to discuss the conflicting feedback openly. I would present the pros and cons of each approach and facilitate a discussion to help the team reach a consensus. If a consensus can't be reached, I would escalate the issue to the project manager or a senior leader for a final decision.",0.85,scenario
"How do you stay up-to-date with new technologies and industry trends?",,"I make it a habit to read tech news, blogs, and articles from reputable sources. I also follow thought leaders on social media platforms. I attend virtual conferences and webinars to learn about new tools and techniques. I also set aside some time each week to work on side projects that allow me to experiment with new technologies.",0.8,scenario
"Describe a time when you made a mistake in a project. What did you learn from it?",,"I once accidentally pushed some un-tested code to a shared branch, which caused a build failure. I immediately reverted my changes and communicated the mistake to my team. From this experience, I learned the importance of thoroughly testing my code before pushing it to a shared repository and the value of clear communication when something goes wrong.",0.7,scenario
"How would you handle a situation where a project's scope is expanding, but the deadline remains the same?",,"I would immediately communicate the issue to my project manager and the stakeholders. I would present a clear case for why the new requirements cannot be met within the current timeline. I would then propose a new, more realistic timeline or suggest deprioritizing some of the new requirements. The goal is to set realistic expectations and ensure a high-quality product is delivered on time.",0.8,scenario
"Explain the difference between a for loop and a while loop in programming.",,"A for loop is used when you know exactly how many times you want the loop to run. For example, if you want to print a message 10 times, you would use a for loop. A while loop is used when you don't know how many times the loop will run, and it will continue to run as long as a certain condition is true.",0.7,scenario
"How would you handle a situation where a client asks for a feature that you believe is not feasible?",,"I would first listen to the client's request to understand their needs. Then, I would explain why the feature is not feasible from a technical standpoint, providing clear and concise reasons. I would then propose a more feasible alternative that still meets their needs. The goal is to work with the client to find a solution that works for everyone.",0.8,scenario
"How do you handle a situation where a team member is not contributing to the project?",,"I would start by having a private conversation with the team member to understand the root cause of the issue. I'd ask if they are facing any personal or professional challenges. I would then work with them to set clear goals and provide the necessary support and resources. If the problem persists, I would escalate the issue to a manager.",0.75,scenario
"How do you deal with a situation where a project you're working on is canceled?",,"I would first try to understand the reasons for the cancellation and what the next steps are. I would then review the project to document any valuable work that could be reused in the future. Finally, I would work with my manager to transition to a new project.",0.65,scenario
"In which year was the first iPhone released?","2005,2007,2009,2010",2007,0.6,mcq
"What does HTML stand for?","Hyper Text Markup Language,High Tech Multi Language,Hyperlink and Text Markup Language,Home Tool Markup Language","Hyper Text Markup Language",0.2,mcq
"Which company developed the Python programming language?","Microsoft,Google,Facebook,Python Software Foundation",Python Software Foundation,0.5,mcq
"What is the main function of CSS?","To structure a webpage,To define the style of a webpage,To add interactivity to a webpage,To store data on a webpage","To define the style of a webpage",0.3,mcq
"What is the purpose of a 'for' loop in programming?","To execute a block of code a specified number of times,To run code only if a condition is met,To handle user input,To define a function","To execute a block of code a specified number of times",0.4,mcq
"What is the difference between HTTP and HTTPS?","HTTPS is slower than HTTP,HTTPS uses encryption for security,HTTP is only for text,HTTPS is a newer protocol",HTTPS uses encryption for security,0.6,mcq
"What does SQL stand for?","Structured Query Language,Simple Query Language,Systematic Query Language,Standard Query Language","Structured Query Language",0.5,mcq
"What is the purpose of a 'while' loop?","To execute a block of code a specified number of times,To run code as long as a condition is true,To handle user input,To define a function","To run code as long as a condition is true",0.4,mcq
"Which of the following is a key-value pair data structure in Python?","List,Tuple,Dictionary,Set",Dictionary,0.5,mcq
"What is the 'DOM' in web development?","Document Object Model,Data Object Model,Display Object Model,Dynamic Object Model","Document Object Model",0.6,mcq
"What is the primary role of a server in a client-server architecture?","To display the user interface,To store and provide data to clients,To handle user input,To connect to the internet","To store and provide data to clients",0.6,mcq
"What is a 'variable' in programming?","A container for storing data values,A type of function,A comment in the code,A special keyword","A container for storing data values",0.3,mcq
"What is an 'array' in programming?","A data structure that stores a collection of elements,A type of function,A comment in the code,A special keyword","A data structure that stores a collection of elements",0.4,mcq
"What is the purpose of a 'function' in programming?","To store data values,To execute a block of code only once,To organize code into reusable blocks,To define a new data type","To organize code into reusable blocks",0.5,mcq
"What is the purpose of the 'git clone' command?","To create a new repository,To copy a repository from a remote location,To save changes to a repository,To merge two branches","To copy a repository from a remote location",0.6,mcq
"Which of the following is a type of machine learning?","Supervised learning,Unsupervised learning,Reinforcement learning,All of the above","All of the above",0.7,mcq
"What is the purpose of the 'npm install' command?","To create a new Node.js project,To install packages and dependencies,To run a development server,To deploy a project","To install packages and dependencies",0.5,mcq
"What is the primary purpose of a database?","To store and retrieve data,To display a user interface,To handle user input,To connect to the internet","To store and retrieve data",0.3,mcq
"What is the purpose of a 'primary key' in a database table?","To uniquely identify each record,To link two tables together,To enforce data integrity,To optimize queries","To uniquely identify each record",0.6,mcq
"What is the purpose of a 'foreign key' in a database table?","To uniquely identify each record,To link two tables together,To enforce data integrity,To optimize queries","To link two tables together",0.7,mcq
"What is the purpose of a 'join' operation in SQL?","To combine data from two or more tables,To filter data from a single table,To sort data in a table,To group data in a table","To combine data from two or more tables",0.6,mcq
"What is the purpose of a 'SELECT' statement in SQL?","To insert new data into a table,To update existing data in a table,To retrieve data from a table,To delete data from a table","To retrieve data from a table",0.4,mcq
"What is the purpose of a 'WHERE' clause in a SQL query?","To combine data from two or more tables,To filter data based on a condition,To sort data in a table,To group data in a table","To filter data based on a condition",0.5,mcq
"What is the purpose of a 'GROUP BY' clause in a SQL query?","To combine data from two or more tables,To filter data based on a condition,To sort data in a table,To group rows with the same values into summary rows","To group rows with the same values into summary rows",0.7,mcq
"What is the purpose of an 'INDEX' in a database?","To uniquely identify each record,To speed up data retrieval,To enforce data integrity,To link two tables together","To speed up data retrieval",0.7,mcq
"What is the purpose of a 'view' in a database?","A virtual table based on the result of a SQL query,A physical table that stores data,A temporary table,A table used for backups","A virtual table based on the result of a SQL query",0.8,mcq
"What is the purpose of a 'trigger' in a database?","A stored procedure that is executed automatically in response to certain events,A type of function,A comment in the code,A special keyword","A stored procedure that is executed automatically in response to certain events",0.9,mcq
"What is the purpose of a 'stored procedure' in a database?","A stored collection of SQL statements,A type of function,A comment in the code,A special keyword","A stored collection of SQL statements",0.8,mcq
"What is the purpose of a 'cursor' in a database?","To retrieve and manipulate data one row at a time,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To retrieve and manipulate data one row at a time",0.9,mcq
"What is the purpose of a 'transaction' in a database?","A sequence of operations performed as a single logical unit of work,A type of function,A comment in the code,A special keyword","A sequence of operations performed as a single logical unit of work",0.8,mcq
"What is the 'ACID' property in a database?","Atomicity, Consistency, Isolation, Durability,Atomicity, Consistency, Integrity, Durability,Atomicity, Consistency, Isolation, Data,Atomicity, Concurrency, Isolation, Durability","Atomicity, Consistency, Isolation, Durability",0.9,mcq
"What is the purpose of a 'subquery' in SQL?","A query within another SQL query,To combine data from two or more tables,To filter data from a single table,To sort data in a table","A query within another SQL query",0.7,mcq
"What is the purpose of a 'union' operation in SQL?","To combine the result sets of two or more SELECT statements,To filter data from a single table,To sort data in a table,To group data in a table","To combine the result sets of two or more SELECT statements",0.8,mcq
"What is the purpose of a 'distinct' keyword in SQL?","To return only unique values,To filter data from a single table,To sort data in a table,To group data in a table","To return only unique values",0.6,mcq
"What is the purpose of a 'limit' clause in SQL?","To limit the number of rows returned,To filter data from a single table,To sort data in a table,To group data in a table","To limit the number of rows returned",0.5,mcq
"What is the purpose of an 'offset' clause in SQL?","To skip a specified number of rows,To limit the number of rows returned,To sort data in a table,To group data in a table","To skip a specified number of rows",0.6,mcq
"What is the purpose of a 'between' operator in SQL?","To filter data within a range,To combine data from two or more tables,To sort data in a table,To group data in a table","To filter data within a range",0.4,mcq
"What is the purpose of a 'like' operator in SQL?","To search for a specified pattern in a column,To filter data within a range,To sort data in a table,To group data in a table","To search for a specified pattern in a column",0.5,mcq
"What is the purpose of a 'case' statement in SQL?","To create different outputs based on different conditions,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To create different outputs based on different conditions",0.8,mcq
"What is the purpose of a 'coalesce' function in SQL?","To return the first non-null value,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To return the first non-null value",0.9,mcq
"What is the purpose of a 'cast' function in SQL?","To convert a value from one data type to another,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To convert a value from one data type to another",0.7,mcq
"What is the purpose of a 'having' clause in a SQL query?","To filter the results of a GROUP BY clause,To filter data from a single table,To sort data in a table,To group data in a table","To filter the results of a GROUP BY clause",0.8,mcq
"What is the purpose of a 'cross join' in SQL?","To combine every row from the first table with every row from the second table,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To combine every row from the first table with every row from the second table",0.9,mcq
"What is the purpose of a 'self join' in SQL?","To join a table to itself,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To join a table to itself",0.9,mcq
"What is the purpose of a 'left join' in SQL?","To return all rows from the left table, and the matched rows from the right table,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To return all rows from the left table, and the matched rows from the right table",0.8,mcq
"What is the purpose of a 'right join' in SQL?","To return all rows from the right table, and the matched rows from the left table,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To return all rows from the right table, and the matched rows from the left table",0.8,mcq
"What is the purpose of an 'inner join' in SQL?","To return rows when there is a match in both tables,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To return rows when there is a match in both tables",0.7,mcq
"What is the purpose of a 'full outer join' in SQL?","To return all rows when there is a match in one of the tables,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To return all rows when there is a match in one of the tables",0.9,mcq
"What is the purpose of a 'natural join' in SQL?","To join two tables based on columns with the same name,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To join two tables based on columns with the same name",0.8,mcq
"What is the purpose of a 'rank' function in SQL?","To assign a unique rank to each row within a partition of a result set,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To assign a unique rank to each row within a partition of a result set",0.9,mcq
"What is the purpose of a 'dense_rank' function in SQL?","To assign a unique rank to each row within a partition of a result set with no gaps,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To assign a unique rank to each row within a partition of a result set with no gaps",0.9,mcq
"What is the purpose of a 'row_number' function in SQL?","To assign a unique sequential number to each row within a partition of a result set,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To assign a unique sequential number to each row within a partition of a result set",0.8,mcq
"What is the purpose of a 'lag' function in SQL?","To access data from a previous row within a partition of a result set,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To access data from a previous row within a partition of a result set",0.9,mcq
"What is the purpose of a 'lead' function in SQL?","To access data from a subsequent row within a partition of a result set,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To access data from a subsequent row within a partition of a result set",0.9,mcq
"What is the purpose of a 'ntile' function in SQL?","To divide a result set into a specified number of groups,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To divide a result set into a specified number of groups",0.8,mcq
"What is the purpose of a 'cume_dist' function in SQL?","To calculate the cumulative distribution of a value within a result set,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To calculate the cumulative distribution of a value within a result set",0.9,mcq
"What is the purpose of a 'first_value' function in SQL?","To return the first value in an ordered set of values,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To return the first value in an ordered set of values",0.8,mcq
"What is the purpose of a 'last_value' function in SQL?","To return the last value in an ordered set of values,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To return the last value in an ordered set of values",0.8,mcq
"What is the purpose of a 'nth_value' function in SQL?","To return the nth value in an ordered set of values,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To return the nth value in an ordered set of values",0.9,mcq
"What is the purpose of a 'percent_rank' function in SQL?","To calculate the percentage rank of a value within a result set,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To calculate the percentage rank of a value within a result set",0.9,mcq
"What is the purpose of a 'json_agg' function in PostgreSQL?","To aggregate a set of values as a JSON array,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To aggregate a set of values as a JSON array",0.8,mcq
"What is the purpose of a 'jsonb_agg' function in PostgreSQL?","To aggregate a set of values as a JSONB array,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To aggregate a set of values as a JSONB array",0.8,mcq
"What is the purpose of a 'json_build_object' function in PostgreSQL?","To build a JSON object from a variadic argument list,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To build a JSON object from a variadic argument list",0.9,mcq
"What is the purpose of a 'jsonb_build_object' function in PostgreSQL?","To build a JSONB object from a variadic argument list,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To build a JSONB object from a variadic argument list",0.9,mcq
"What is the purpose of a 'json_object_agg' function in PostgreSQL?","To aggregate a set of key/value pairs into a JSON object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To aggregate a set of key/value pairs into a JSON object",0.9,mcq
"What is the purpose of a 'jsonb_object_agg' function in PostgreSQL?","To aggregate a set of key/value pairs into a JSONB object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To aggregate a set of key/value pairs into a JSONB object",0.9,mcq
"What is the purpose of a 'json_to_record' function in PostgreSQL?","To convert a JSON object to a SQL record,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To convert a JSON object to a SQL record",0.8,mcq
"What is the purpose of a 'jsonb_to_record' function in PostgreSQL?","To convert a JSONB object to a SQL record,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To convert a JSONB object to a SQL record",0.8,mcq
"What is the purpose of a 'json_array_elements' function in PostgreSQL?","To expand a JSON array to a set of rows,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To expand a JSON array to a set of rows",0.9,mcq
"What is the purpose of a 'jsonb_array_elements' function in PostgreSQL?","To expand a JSONB array to a set of rows,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To expand a JSONB array to a set of rows",0.9,mcq
"What is the purpose of a 'json_each' function in PostgreSQL?","To expand a JSON object to a set of key/value pairs,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To expand a JSON object to a set of key/value pairs",0.9,mcq
"What is the purpose of a 'jsonb_each' function in PostgreSQL?","To expand a JSONB object to a set of key/value pairs,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To expand a JSONB object to a set of key/value pairs",0.9,mcq
"What is the purpose of a 'json_each_text' function in PostgreSQL?","To expand a JSON object to a set of key/value pairs as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To expand a JSON object to a set of key/value pairs as text",0.9,mcq
"What is the purpose of a 'jsonb_each_text' function in PostgreSQL?","To expand a JSONB object to a set of key/value pairs as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To expand a JSONB object to a set of key/value pairs as text",0.9,mcq
"What is the purpose of a 'json_object_keys' function in PostgreSQL?","To return the keys of the outermost JSON object as a set of rows,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To return the keys of the outermost JSON object as a set of rows",0.8,mcq
"What is the purpose of a 'jsonb_object_keys' function in PostgreSQL?","To return the keys of the outermost JSONB object as a set of rows,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To return the keys of the outermost JSONB object as a set of rows",0.8,mcq
"What is the purpose of a 'json_strip_nulls' function in PostgreSQL?","To remove null-valued fields from a JSON object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To remove null-valued fields from a JSON object",0.9,mcq
"What is the purpose of a 'jsonb_strip_nulls' function in PostgreSQL?","To remove null-valued fields from a JSONB object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To remove null-valued fields from a JSONB object",0.9,mcq
"What is the purpose of a 'jsonb_set' function in PostgreSQL?","To set a value in a JSONB object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To set a value in a JSONB object at a specified path",0.9,mcq
"What is the purpose of a 'jsonb_insert' function in PostgreSQL?","To insert a new value into a JSONB array or object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To insert a new value into a JSONB array or object",0.9,mcq
"What is the purpose of a 'jsonb_delete' function in PostgreSQL?","To delete a key/value pair from a JSONB object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To delete a key/value pair from a JSONB object",0.9,mcq
"What is the purpose of a 'jsonb_pretty' function in PostgreSQL?","To format a JSONB object into a human-readable format,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To format a JSONB object into a human-readable format",0.8,mcq
